Date : 2023-04-10 10:20:01
Directory : d:\FIXXUP\Angular-FIXXP-\src\app
Total : 455 files,  64601 codes, 33381 comments, 8971 blanks, all 106953 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\FIXXUP\Angular-FIXXP-\src\app\daily-helper-category\daily-helper-category.component.css                     | CSS        |        171 |        866 |         16 |      1,053 |
| d:\FIXXUP\Angular-FIXXP-\src\app\daily-helper-category\daily-helper-category.component.html                    | HTML       |        544 |         10 |         29 |        583 |
| d:\FIXXUP\Angular-FIXXP-\src\app\daily-helper-category\daily-helper-category.component.spec.ts                 | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\daily-helper-category\daily-helper-category.component.ts                      | TypeScript |        165 |          0 |         19 |        184 |
| d:\FIXXUP\Angular-FIXXP-\src\app\daily-helpers-kyc\daily-helpers-kyc.component.css                             | CSS        |        255 |          7 |         51 |        313 |
| d:\FIXXUP\Angular-FIXXP-\src\app\daily-helpers-kyc\daily-helpers-kyc.component.html                            | HTML       |         59 |         38 |         18 |        115 |
| d:\FIXXUP\Angular-FIXXP-\src\app\daily-helpers-kyc\daily-helpers-kyc.component.spec.ts                         | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\daily-helpers-kyc\daily-helpers-kyc.component.ts                              | TypeScript |         40 |          0 |         14 |         54 |
| d:\FIXXUP\Angular-FIXXP-\src\app\dailyHelpers Service\dailyhelperskyc.service.ts                               | TypeScript |          7 |          0 |          3 |         10 |
| d:\FIXXUP\Angular-FIXXP-\src\app\dashboard\dashboard.component.css                                             | CSS        |        171 |        866 |         16 |      1,053 |
| d:\FIXXUP\Angular-FIXXP-\src\app\dashboard\dashboard.component.html                                            | HTML       |        650 |          9 |         13 |        672 |
| d:\FIXXUP\Angular-FIXXP-\src\app\dashboard\dashboard.component.spec.ts                                         | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\dashboard\dashboard.component.ts                                              | TypeScript |        232 |          0 |         21 |        253 |
| d:\FIXXUP\Angular-FIXXP-\src\app\due-amount\due-amount.component.css                                           | CSS        |        171 |        866 |         16 |      1,053 |
| d:\FIXXUP\Angular-FIXXP-\src\app\due-amount\due-amount.component.html                                          | HTML       |        575 |        618 |         28 |      1,221 |
| d:\FIXXUP\Angular-FIXXP-\src\app\due-amount\due-amount.component.spec.ts                                       | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\due-amount\due-amount.component.ts                                            | TypeScript |        171 |          0 |         23 |        194 |
| d:\FIXXUP\Angular-FIXXP-\src\app\edit-charges\edit-charges.component.css                                       | CSS        |        475 |          2 |        120 |        597 |
| d:\FIXXUP\Angular-FIXXP-\src\app\edit-charges\edit-charges.component.html                                      | HTML       |        369 |         18 |         14 |        401 |
| d:\FIXXUP\Angular-FIXXP-\src\app\edit-charges\edit-charges.component.spec.ts                                   | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\edit-charges\edit-charges.component.ts                                        | TypeScript |        146 |          0 |         21 |        167 |
| d:\FIXXUP\Angular-FIXXP-\src\app\edit-city\edit-city.component.css                                             | CSS        |        326 |        393 |         88 |        807 |
| d:\FIXXUP\Angular-FIXXP-\src\app\edit-city\edit-city.component.html                                            | HTML       |        242 |         45 |         31 |        318 |
| d:\FIXXUP\Angular-FIXXP-\src\app\edit-city\edit-city.component.spec.ts                                         | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\edit-city\edit-city.component.ts                                              | TypeScript |        120 |          0 |          9 |        129 |
| d:\FIXXUP\Angular-FIXXP-\src\app\edit-daily-helpes\edit-daily-helpes.component.css                             | CSS        |        385 |        377 |        100 |        862 |
| d:\FIXXUP\Angular-FIXXP-\src\app\edit-daily-helpes\edit-daily-helpes.component.html                            | HTML       |        188 |        154 |         44 |        386 |
| d:\FIXXUP\Angular-FIXXP-\src\app\edit-daily-helpes\edit-daily-helpes.component.spec.ts                         | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\edit-daily-helpes\edit-daily-helpes.component.ts                              | TypeScript |        129 |          1 |         13 |        143 |
| d:\FIXXUP\Angular-FIXXP-\src\app\edit-manager\edit-manager.component.css                                       | CSS        |        475 |          2 |        120 |        597 |
| d:\FIXXUP\Angular-FIXXP-\src\app\edit-manager\edit-manager.component.html                                      | HTML       |        155 |         80 |         51 |        286 |
| d:\FIXXUP\Angular-FIXXP-\src\app\edit-manager\edit-manager.component.spec.ts                                   | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\edit-manager\edit-manager.component.ts                                        | TypeScript |        174 |          0 |         23 |        197 |
| d:\FIXXUP\Angular-FIXXP-\src\app\edit-pincode\edit-pincode.component.css                                       | CSS        |        355 |        383 |         86 |        824 |
| d:\FIXXUP\Angular-FIXXP-\src\app\edit-pincode\edit-pincode.component.html                                      | HTML       |        208 |        233 |         44 |        485 |
| d:\FIXXUP\Angular-FIXXP-\src\app\edit-pincode\edit-pincode.component.spec.ts                                   | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\edit-pincode\edit-pincode.component.ts                                        | TypeScript |        143 |          0 |         22 |        165 |
| d:\FIXXUP\Angular-FIXXP-\src\app\edit-profile\edit-profile.component.css                                       | CSS        |        332 |        375 |         87 |        794 |
| d:\FIXXUP\Angular-FIXXP-\src\app\edit-profile\edit-profile.component.html                                      | HTML       |        212 |          2 |         42 |        256 |
| d:\FIXXUP\Angular-FIXXP-\src\app\edit-profile\edit-profile.component.spec.ts                                   | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\edit-profile\edit-profile.component.ts                                        | TypeScript |        129 |          0 |         26 |        155 |
| d:\FIXXUP\Angular-FIXXP-\src\app\edit-role\edit-role.component.css                                             | CSS        |        405 |        389 |         93 |        887 |
| d:\FIXXUP\Angular-FIXXP-\src\app\edit-role\edit-role.component.html                                            | HTML       |        185 |        155 |         63 |        403 |
| d:\FIXXUP\Angular-FIXXP-\src\app\edit-role\edit-role.component.spec.ts                                         | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\edit-role\edit-role.component.ts                                              | TypeScript |        162 |          0 |         14 |        176 |
| d:\FIXXUP\Angular-FIXXP-\src\app\edit-society\edit-society.component.css                                       | CSS        |        347 |        490 |         78 |        915 |
| d:\FIXXUP\Angular-FIXXP-\src\app\edit-society\edit-society.component.html                                      | HTML       |        397 |          0 |         16 |        413 |
| d:\FIXXUP\Angular-FIXXP-\src\app\edit-society\edit-society.component.spec.ts                                   | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\edit-society\edit-society.component.ts                                        | TypeScript |        143 |          0 |         18 |        161 |
| d:\FIXXUP\Angular-FIXXP-\src\app\edit-stamp-paper\edit-stamp-paper.component.css                               | CSS        |        475 |          2 |        120 |        597 |
| d:\FIXXUP\Angular-FIXXP-\src\app\edit-stamp-paper\edit-stamp-paper.component.html                              | HTML       |        314 |         12 |         16 |        342 |
| d:\FIXXUP\Angular-FIXXP-\src\app\edit-stamp-paper\edit-stamp-paper.component.spec.ts                           | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\edit-stamp-paper\edit-stamp-paper.component.ts                                | TypeScript |        141 |          0 |         18 |        159 |
| d:\FIXXUP\Angular-FIXXP-\src\app\edit-state\edit-state.component.css                                           | CSS        |        330 |        377 |         81 |        788 |
| d:\FIXXUP\Angular-FIXXP-\src\app\edit-state\edit-state.component.html                                          | HTML       |        188 |        148 |         43 |        379 |
| d:\FIXXUP\Angular-FIXXP-\src\app\edit-state\edit-state.component.spec.ts                                       | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\edit-state\edit-state.component.ts                                            | TypeScript |        125 |          0 |         12 |        137 |
| d:\FIXXUP\Angular-FIXXP-\src\app\edit-visitor-category\edit-visitor-category.component.css                     | CSS        |        348 |        378 |         79 |        805 |
| d:\FIXXUP\Angular-FIXXP-\src\app\edit-visitor-category\edit-visitor-category.component.html                    | HTML       |         97 |        143 |         42 |        282 |
| d:\FIXXUP\Angular-FIXXP-\src\app\edit-visitor-category\edit-visitor-category.component.spec.ts                 | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\edit-visitor-category\edit-visitor-category.component.ts                      | TypeScript |        123 |          0 |         10 |        133 |
| d:\FIXXUP\Angular-FIXXP-\src\app\editraised-complaint\editraised-complaint.component.css                       | CSS        |        330 |          0 |         83 |        413 |
| d:\FIXXUP\Angular-FIXXP-\src\app\editraised-complaint\editraised-complaint.component.html                      | HTML       |        188 |        150 |         44 |        382 |
| d:\FIXXUP\Angular-FIXXP-\src\app\editraised-complaint\editraised-complaint.component.spec.ts                   | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\editraised-complaint\editraised-complaint.component.ts                        | TypeScript |        127 |          0 |         12 |        139 |
| d:\FIXXUP\Angular-FIXXP-\src\app\flat-user-kyc\flat-user-kyc.component.css                                     | CSS        |          0 |          0 |          1 |          1 |
| d:\FIXXUP\Angular-FIXXP-\src\app\flat-user-kyc\flat-user-kyc.component.html                                    | HTML       |          1 |          0 |          0 |          1 |
| d:\FIXXUP\Angular-FIXXP-\src\app\flat-user-kyc\flat-user-kyc.component.spec.ts                                 | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\flat-user-kyc\flat-user-kyc.component.ts                                      | TypeScript |         34 |          0 |         12 |         46 |
| d:\FIXXUP\Angular-FIXXP-\src\app\flats\flats.component.css                                                     | CSS        |        171 |        866 |         16 |      1,053 |
| d:\FIXXUP\Angular-FIXXP-\src\app\flats\flats.component.html                                                    | HTML       |        318 |         23 |         38 |        379 |
| d:\FIXXUP\Angular-FIXXP-\src\app\flats\flats.component.spec.ts                                                 | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\flats\flats.component.ts                                                      | TypeScript |        148 |          0 |          9 |        157 |
| d:\FIXXUP\Angular-FIXXP-\src\app\flatusers\flatusers.component.css                                             | CSS        |        171 |        866 |         16 |      1,053 |
| d:\FIXXUP\Angular-FIXXP-\src\app\flatusers\flatusers.component.html                                            | HTML       |        508 |         23 |         37 |        568 |
| d:\FIXXUP\Angular-FIXXP-\src\app\flatusers\flatusers.component.spec.ts                                         | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\flatusers\flatusers.component.ts                                              | TypeScript |        139 |          0 |         14 |        153 |
| d:\FIXXUP\Angular-FIXXP-\src\app\fp-verify-email\fp-verify-email.component.css                                 | CSS        |        340 |          1 |         68 |        409 |
| d:\FIXXUP\Angular-FIXXP-\src\app\fp-verify-email\fp-verify-email.component.html                                | HTML       |         42 |         43 |          7 |         92 |
| d:\FIXXUP\Angular-FIXXP-\src\app\fp-verify-email\fp-verify-email.component.spec.ts                             | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\fp-verify-email\fp-verify-email.component.ts                                  | TypeScript |         52 |          0 |         12 |         64 |
| d:\FIXXUP\Angular-FIXXP-\src\app\fp-verify-otp\fp-verify-otp.component.css                                     | CSS        |        335 |          1 |         66 |        402 |
| d:\FIXXUP\Angular-FIXXP-\src\app\fp-verify-otp\fp-verify-otp.component.html                                    | HTML       |         56 |         50 |          4 |        110 |
| d:\FIXXUP\Angular-FIXXP-\src\app\fp-verify-otp\fp-verify-otp.component.spec.ts                                 | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\fp-verify-otp\fp-verify-otp.component.ts                                      | TypeScript |         54 |          0 |          9 |         63 |
| d:\FIXXUP\Angular-FIXXP-\src\app\home-transaction\home-transaction.component.css                               | CSS        |        190 |        866 |         18 |      1,074 |
| d:\FIXXUP\Angular-FIXXP-\src\app\home-transaction\home-transaction.component.html                              | HTML       |        565 |         17 |         20 |        602 |
| d:\FIXXUP\Angular-FIXXP-\src\app\home-transaction\home-transaction.component.spec.ts                           | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\home-transaction\home-transaction.component.ts                                | TypeScript |        146 |          0 |         14 |        160 |
| d:\FIXXUP\Angular-FIXXP-\src\app\idbyusername\idbyusername.component.css                                       | CSS        |        169 |          7 |         39 |        215 |
| d:\FIXXUP\Angular-FIXXP-\src\app\idbyusername\idbyusername.component.html                                      | HTML       |         53 |          3 |         15 |         71 |
| d:\FIXXUP\Angular-FIXXP-\src\app\idbyusername\idbyusername.component.spec.ts                                   | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\idbyusername\idbyusername.component.ts                                        | TypeScript |         23 |          0 |          6 |         29 |
| d:\FIXXUP\Angular-FIXXP-\src\app\invoice-pdf\invoice-pdf.component.css                                         | CSS        |          0 |          0 |          1 |          1 |
| d:\FIXXUP\Angular-FIXXP-\src\app\invoice-pdf\invoice-pdf.component.html                                        | HTML       |          1 |          0 |          1 |          2 |
| d:\FIXXUP\Angular-FIXXP-\src\app\invoice-pdf\invoice-pdf.component.spec.ts                                     | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\invoice-pdf\invoice-pdf.component.ts                                          | TypeScript |          8 |          0 |          4 |         12 |
| d:\FIXXUP\Angular-FIXXP-\src\app\list-admin\list-admin.component.css                                           | CSS        |          0 |          0 |          1 |          1 |
| d:\FIXXUP\Angular-FIXXP-\src\app\list-admin\list-admin.component.html                                          | HTML       |          1 |          0 |          1 |          2 |
| d:\FIXXUP\Angular-FIXXP-\src\app\list-admin\list-admin.component.spec.ts                                       | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\list-admin\list-admin.component.ts                                            | TypeScript |          8 |          0 |          3 |         11 |
| d:\FIXXUP\Angular-FIXXP-\src\app\listcity\listcity.component.css                                               | CSS        |        176 |        866 |         17 |      1,059 |
| d:\FIXXUP\Angular-FIXXP-\src\app\listcity\listcity.component.html                                              | HTML       |        520 |         26 |         37 |        583 |
| d:\FIXXUP\Angular-FIXXP-\src\app\listcity\listcity.component.spec.ts                                           | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\listcity\listcity.component.ts                                                | TypeScript |        177 |          9 |         16 |        202 |
| d:\FIXXUP\Angular-FIXXP-\src\app\listpincode\listpincode.component.css                                         | CSS        |        176 |        866 |         17 |      1,059 |
| d:\FIXXUP\Angular-FIXXP-\src\app\listpincode\listpincode.component.html                                        | HTML       |        333 |         21 |         40 |        394 |
| d:\FIXXUP\Angular-FIXXP-\src\app\listpincode\listpincode.component.spec.ts                                     | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\listpincode\listpincode.component.ts                                          | TypeScript |        174 |          6 |         22 |        202 |
| d:\FIXXUP\Angular-FIXXP-\src\app\liststate\liststate.component.css                                             | CSS        |        348 |        465 |         93 |        906 |
| d:\FIXXUP\Angular-FIXXP-\src\app\liststate\liststate.component.html                                            | HTML       |        167 |          4 |         39 |        210 |
| d:\FIXXUP\Angular-FIXXP-\src\app\liststate\liststate.component.spec.ts                                         | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\liststate\liststate.component.ts                                              | TypeScript |        135 |          1 |         13 |        149 |
| d:\FIXXUP\Angular-FIXXP-\src\app\login\login.component.css                                                     | CSS        |        169 |         13 |         25 |        207 |
| d:\FIXXUP\Angular-FIXXP-\src\app\login\login.component.html                                                    | HTML       |         77 |          1 |         10 |         88 |
| d:\FIXXUP\Angular-FIXXP-\src\app\login\login.component.spec.ts                                                 | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\login\login.component.ts                                                      | TypeScript |         38 |          0 |         10 |         48 |
| d:\FIXXUP\Angular-FIXXP-\src\app\manager-kyc-approve\manager-kyc-approve.component.css                         | CSS        |          5 |          0 |          1 |          6 |
| d:\FIXXUP\Angular-FIXXP-\src\app\manager-kyc-approve\manager-kyc-approve.component.html                        | HTML       |         38 |         26 |          8 |         72 |
| d:\FIXXUP\Angular-FIXXP-\src\app\manager-kyc-approve\manager-kyc-approve.component.spec.ts                     | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\manager-kyc-approve\manager-kyc-approve.component.ts                          | TypeScript |         41 |          0 |          7 |         48 |
| d:\FIXXUP\Angular-FIXXP-\src\app\managers\managers.component.css                                               | CSS        |        188 |          1 |         20 |        209 |
| d:\FIXXUP\Angular-FIXXP-\src\app\managers\managers.component.html                                              | HTML       |        618 |         13 |         23 |        654 |
| d:\FIXXUP\Angular-FIXXP-\src\app\managers\managers.component.spec.ts                                           | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\managers\managers.component.ts                                                | TypeScript |        172 |          0 |         12 |        184 |
| d:\FIXXUP\Angular-FIXXP-\src\app\models\society.model.ts                                                       | TypeScript |        210 |          0 |         94 |        304 |
| d:\FIXXUP\Angular-FIXXP-\src\app\pincode-status\pincode-status.component.css                                   | CSS        |          0 |          0 |          1 |          1 |
| d:\FIXXUP\Angular-FIXXP-\src\app\pincode-status\pincode-status.component.html                                  | HTML       |         24 |          0 |          9 |         33 |
| d:\FIXXUP\Angular-FIXXP-\src\app\pincode-status\pincode-status.component.spec.ts                               | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\pincode-status\pincode-status.component.ts                                    | TypeScript |         34 |          0 |         11 |         45 |
| d:\FIXXUP\Angular-FIXXP-\src\app\profile\profile.component.css                                                 | CSS        |        184 |          7 |         44 |        235 |
| d:\FIXXUP\Angular-FIXXP-\src\app\profile\profile.component.html                                                | HTML       |         56 |          3 |         18 |         77 |
| d:\FIXXUP\Angular-FIXXP-\src\app\profile\profile.component.spec.ts                                             | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\profile\profile.component.ts                                                  | TypeScript |         18 |          0 |          7 |         25 |
| d:\FIXXUP\Angular-FIXXP-\src\app\raised-complaint\raised-complaint.component.css                               | CSS        |        171 |        866 |         16 |      1,053 |
| d:\FIXXUP\Angular-FIXXP-\src\app\raised-complaint\raised-complaint.component.html                              | HTML       |        542 |        615 |         33 |      1,190 |
| d:\FIXXUP\Angular-FIXXP-\src\app\raised-complaint\raised-complaint.component.spec.ts                           | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\raised-complaint\raised-complaint.component.ts                                | TypeScript |        162 |          0 |         17 |        179 |
| d:\FIXXUP\Angular-FIXXP-\src\app\rent-pay\rent-pay.component.css                                               | CSS        |        188 |          1 |         19 |        208 |
| d:\FIXXUP\Angular-FIXXP-\src\app\rent-pay\rent-pay.component.html                                              | HTML       |        619 |         31 |         21 |        671 |
| d:\FIXXUP\Angular-FIXXP-\src\app\rent-pay\rent-pay.component.spec.ts                                           | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\rent-pay\rent-pay.component.ts                                                | TypeScript |        149 |          6 |         19 |        174 |
| d:\FIXXUP\Angular-FIXXP-\src\app\resend-otp\resend-otp.component.css                                           | CSS        |          0 |          0 |          1 |          1 |
| d:\FIXXUP\Angular-FIXXP-\src\app\resend-otp\resend-otp.component.html                                          | HTML       |          1 |          0 |          1 |          2 |
| d:\FIXXUP\Angular-FIXXP-\src\app\resend-otp\resend-otp.component.spec.ts                                       | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\resend-otp\resend-otp.component.ts                                            | TypeScript |          8 |          0 |          3 |         11 |
| d:\FIXXUP\Angular-FIXXP-\src\app\reset-password\reset-password.component.css                                   | CSS        |        341 |          1 |         70 |        412 |
| d:\FIXXUP\Angular-FIXXP-\src\app\reset-password\reset-password.component.html                                  | HTML       |         99 |          1 |          5 |        105 |
| d:\FIXXUP\Angular-FIXXP-\src\app\reset-password\reset-password.component.spec.ts                               | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\reset-password\reset-password.component.ts                                    | TypeScript |        128 |          0 |         10 |        138 |
| d:\FIXXUP\Angular-FIXXP-\src\app\rolelist\rolelist.component.css                                               | CSS        |        171 |        866 |         16 |      1,053 |
| d:\FIXXUP\Angular-FIXXP-\src\app\rolelist\rolelist.component.html                                              | HTML       |        546 |         10 |         28 |        584 |
| d:\FIXXUP\Angular-FIXXP-\src\app\rolelist\rolelist.component.spec.ts                                           | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\rolelist\rolelist.component.ts                                                | TypeScript |        169 |          0 |         25 |        194 |
| d:\FIXXUP\Angular-FIXXP-\src\app\security-guard-kyc\security-guard-kyc.component.css                           | CSS        |        194 |          7 |         44 |        245 |
| d:\FIXXUP\Angular-FIXXP-\src\app\security-guard-kyc\security-guard-kyc.component.html                          | HTML       |         32 |          0 |          2 |         34 |
| d:\FIXXUP\Angular-FIXXP-\src\app\security-guard-kyc\security-guard-kyc.component.spec.ts                       | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\security-guard-kyc\security-guard-kyc.component.ts                            | TypeScript |         18 |          0 |          7 |         25 |
| d:\FIXXUP\Angular-FIXXP-\src\app\services\Daily Helpers\dailyhelpersview-kyc.service.ts                        | TypeScript |         27 |          0 |          9 |         36 |
| d:\FIXXUP\Angular-FIXXP-\src\app\services\Home Transaction\hometransactions.service.ts                         | TypeScript |         27 |          3 |         14 |         44 |
| d:\FIXXUP\Angular-FIXXP-\src\app\services\Invoice\invoice.service.ts                                           | TypeScript |         27 |          2 |         13 |         42 |
| d:\FIXXUP\Angular-FIXXP-\src\app\services\Login Service\login.service.ts                                       | TypeScript |        883 |          3 |        184 |      1,070 |
| d:\FIXXUP\Angular-FIXXP-\src\app\services\Receipt PDF\receipt.service.ts                                       | TypeScript |         27 |          3 |         14 |         44 |
| d:\FIXXUP\Angular-FIXXP-\src\app\services\Rental Agreement\rental.service.ts                                   | TypeScript |         27 |          3 |         12 |         42 |
| d:\FIXXUP\Angular-FIXXP-\src\app\services\Security Worker Document\security-workers-doc.service.ts             | TypeScript |         27 |          0 |         10 |         37 |
| d:\FIXXUP\Angular-FIXXP-\src\app\services\Service  Toggle\toggle-service.service.ts                            | TypeScript |         27 |          0 |          9 |         36 |
| d:\FIXXUP\Angular-FIXXP-\src\app\services\Society Logo\view-society-logo.service.ts                            | TypeScript |         27 |          2 |          9 |         38 |
| d:\FIXXUP\Angular-FIXXP-\src\app\services\Society Manager KYC\society-manager-kyc.service.spec.ts              | TypeScript |         12 |          0 |          5 |         17 |
| d:\FIXXUP\Angular-FIXXP-\src\app\services\Society Manager KYC\society-manager-kyc.service.ts                   | TypeScript |         27 |          1 |         10 |         38 |
| d:\FIXXUP\Angular-FIXXP-\src\app\services\TIcket Worker Document\ticket-workers-doc.service.ts                 | TypeScript |         27 |          0 |          9 |         36 |
| d:\FIXXUP\Angular-FIXXP-\src\app\services\UserKyc\flat-user-kyc.service.ts                                     | TypeScript |         27 |          1 |         10 |         38 |
| d:\FIXXUP\Angular-FIXXP-\src\app\services\VIsitors Image\visitors-images.service.ts                            | TypeScript |         27 |          3 |         13 |         43 |
| d:\FIXXUP\Angular-FIXXP-\src\app\services\promition service\image-promotion.service.ts                         | TypeScript |         33 |          1 |         15 |         49 |
| d:\FIXXUP\Angular-FIXXP-\src\app\services\society Upload Logo\society-upload-logo.service.ts                   | TypeScript |         32 |          1 |         18 |         51 |
| d:\FIXXUP\Angular-FIXXP-\src\app\settlement-update\settlement-update.component.css                             | CSS        |        326 |        393 |         88 |        807 |
| d:\FIXXUP\Angular-FIXXP-\src\app\settlement-update\settlement-update.component.html                            | HTML       |        348 |         45 |         17 |        410 |
| d:\FIXXUP\Angular-FIXXP-\src\app\settlement-update\settlement-update.component.spec.ts                         | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\settlement-update\settlement-update.component.ts                              | TypeScript |        132 |          0 |         25 |        157 |
| d:\FIXXUP\Angular-FIXXP-\src\app\society-based-visitors\society-based-visitors.component.css                   | CSS        |        176 |        867 |         21 |      1,064 |
| d:\FIXXUP\Angular-FIXXP-\src\app\society-based-visitors\society-based-visitors.component.html                  | HTML       |        553 |        613 |         38 |      1,204 |
| d:\FIXXUP\Angular-FIXXP-\src\app\society-based-visitors\society-based-visitors.component.spec.ts               | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\society-based-visitors\society-based-visitors.component.ts                    | TypeScript |        170 |          0 |         16 |        186 |
| d:\FIXXUP\Angular-FIXXP-\src\app\society-daily-workers\society-daily-workers.component.css                     | CSS        |        176 |        866 |         17 |      1,059 |
| d:\FIXXUP\Angular-FIXXP-\src\app\society-daily-workers\society-daily-workers.component.html                    | HTML       |        546 |        622 |         44 |      1,212 |
| d:\FIXXUP\Angular-FIXXP-\src\app\society-daily-workers\society-daily-workers.component.spec.ts                 | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\society-daily-workers\society-daily-workers.component.ts                      | TypeScript |        162 |          1 |         14 |        177 |
| d:\FIXXUP\Angular-FIXXP-\src\app\society-emergency-contact\society-emergency-contact.component.css             | CSS        |        176 |        866 |         17 |      1,059 |
| d:\FIXXUP\Angular-FIXXP-\src\app\society-emergency-contact\society-emergency-contact.component.html            | HTML       |        531 |        622 |         45 |      1,198 |
| d:\FIXXUP\Angular-FIXXP-\src\app\society-emergency-contact\society-emergency-contact.component.spec.ts         | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\society-emergency-contact\society-emergency-contact.component.ts              | TypeScript |        169 |          0 |         17 |        186 |
| d:\FIXXUP\Angular-FIXXP-\src\app\society-promotions\society-promotions.component.css                           | CSS        |        259 |          1 |         37 |        297 |
| d:\FIXXUP\Angular-FIXXP-\src\app\society-promotions\society-promotions.component.html                          | HTML       |        491 |         11 |         20 |        522 |
| d:\FIXXUP\Angular-FIXXP-\src\app\society-promotions\society-promotions.component.spec.ts                       | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\society-promotions\society-promotions.component.ts                            | TypeScript |        190 |          1 |         26 |        217 |
| d:\FIXXUP\Angular-FIXXP-\src\app\society-security-guard\society-security-guard.component.css                   | CSS        |        193 |          1 |         20 |        214 |
| d:\FIXXUP\Angular-FIXXP-\src\app\society-security-guard\society-security-guard.component.html                  | HTML       |        561 |        623 |         40 |      1,224 |
| d:\FIXXUP\Angular-FIXXP-\src\app\society-security-guard\society-security-guard.component.spec.ts               | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\society-security-guard\society-security-guard.component.ts                    | TypeScript |        180 |          0 |         17 |        197 |
